formula,pubchemformula,name,CAS,hazard,NO3,element,nitride,oxide,NH4,dichromate,chloride,H2O,acetate,carbonate,chromate,hydroxide,oxalate,hydride,chlorate,acid,nitrite,peroxide
BH3O3,BH3O3,Trace Metal Mix A5 with Co,10043-35-3,['H360FD'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
W,W,Tungsten,7440-33-7,[],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2W,O2W,Tungsten(IV) oxide,12036-22-5,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3W,O3W,Tungsten(VI) oxide,1314-35-8,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V,V,Vanadium,7440-62-2,[],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3V2,O3V2,Vanadium(III) oxide,1314-34-7,"['H332', 'H319']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2V,O2V,Vanadium(IV) oxide,12036-21-4,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O5V2,O5V2,Vanadium(V) oxide,1314-62-1,"['H330', 'H362', 'H341', 'H411', 'H335', 'H361fd', 'H350', 'H372', 'H301']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O3Yb2,O3Yb2,Ytterbium(III) oxide,1314-37-0,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yb,Yb,"Ytterbium, powder, ",7440-64-4,"['H315', 'H319', 'H228', 'H332', 'H302', 'H335', 'H312']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,Y,Yttrium,7440-65-5,[],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N3O9Y·6H2O,H12N3O15Y,Yttrium(III) nitrate hexahydrate,13494-98-9,"['H410', 'H302', 'H318', 'H400']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
O3Y2,O3Y2,Yttrium(III) oxide,1314-36-9,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4H6O4Zn·2H2O,C4H10O6Zn,Zinc acetate dihydrate,5970-45-6,"['H411', 'H302', 'H318']",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
H2O2Zn,H2O2Zn,Zinc peroxide,1314-22-3,"['H319', 'H315', 'H400', 'H271', 'H410']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ZrN,NZr,"Zirconium Nitride, powder, ZrN, max",25658-42-8,[],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2Zr,,Zirconium(IV) oxide,1314-23-4,[],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cl2OZr·8H2O,Cl2H18O9Zr,Zirconyl chloride octahydrate,13520-92-8,['H314'],0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ZnO,C2H6O,Zinc oxide,1314-13-2,"['H411', 'H410']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
